zipcode,price,sqft_lot,lat,long,avg_income,total_pop,state
98178,231300.0,5650,47.5112,-122.257,68004.76550680786,13220,WA
98125,538000.0,7242,47.721,-122.319,89057.8125,21760,WA
98028,180000.0,10000,47.7379,-122.233,119463.84615384616,11700,WA
98136,604000.0,5000,47.5208,-122.393,142535.06787330317,8840,WA
98074,510000.0,8080,47.6168,-122.045,236032.49211356463,12680,WA
98053,1225000.0,101930,47.6561,-122.005,207522.1335992024,10030,WA
98003,257500.0,6819,47.3097,-122.327,57296.97102721686,22780,WA
98198,291850.0,9711,47.4095,-122.315,68652.78372591006,18680,WA
98146,229500.0,7470,47.5123,-122.337,80281.9345661451,14060,WA
98038,323000.0,6560,47.3684,-122.031,109980.16119032858,16130,WA
98007,662500.0,9796,47.6007,-122.145,108932.47041420118,13520,WA
98115,468000.0,6000,47.69,-122.292,143828.72378243867,28130,WA
98028,310000.0,19901,47.7558,-122.229,119463.84615384616,11700,WA
98074,400000.0,9680,47.6127,-122.045,236032.49211356463,12680,WA
98107,530000.0,4850,47.67,-122.394,118844.46366782006,17340,WA
98126,650000.0,5000,47.5714,-122.375,103219.01944209637,11830,WA
98019,395000.0,14040,47.7277,-121.962,131883.04195804195,5720,WA
98103,485000.0,4300,47.6648,-122.343,126559.61222477816,30430,WA
98002,189000.0,9850,47.3089,-122.21,50171.24925283921,16730,WA
98003,230000.0,9774,47.3343,-122.306,57296.97102721686,22780,WA
98133,385000.0,4980,47.7025,-122.341,77434.52474469757,25460,WA
98040,2000000.0,44867,47.5316,-122.233,348292.80632411066,12650,WA
98092,285000.0,6300,47.3266,-122.169,82218.24655095683,22470,WA
98030,252700.0,9643,47.3533,-122.166,58244.88505747126,17400,WA
98030,329000.0,6500,47.3739,-122.172,58244.88505747126,17400,WA
98002,233000.0,4697,47.3048,-122.218,50171.24925283921,16730,WA
98119,937000.0,2691,47.6386,-122.36,190293.7363437728,13730,WA
98112,667000.0,1581,47.6221,-122.314,331925.1974723539,12660,WA
98115,438000.0,6380,47.695,-122.304,143828.72378243867,28130,WA
98052,719000.0,7173,47.7073,-122.11,167832.9569093611,33650,WA
98027,580500.0,3980,47.5391,-122.07,156580.6170355466,14910,WA
98133,280000.0,1265,47.7274,-122.357,77434.52474469757,25460,WA
98117,687500.0,5000,47.6823,-122.368,141307.04301075268,18600,WA
98117,535000.0,3000,47.6889,-122.375,141307.04301075268,18600,WA
98058,322500.0,6659,47.4276,-122.157,82944.60465116278,21500,WA
98115,696000.0,3060,47.6827,-122.31,143828.72378243867,28130,WA
98052,550000.0,34848,47.6621,-122.132,167832.9569093611,33650,WA
98107,640000.0,6000,47.6702,-122.362,118844.46366782006,17340,WA
98001,240000.0,8075,47.3341,-122.282,76875.8559622196,16940,WA
98056,605000.0,7553,47.5301,-122.18,96429.90444069702,17790,WA
98074,625000.0,5520,47.6145,-122.027,236032.49211356463,12680,WA
98166,775000.0,24186,47.445,-122.347,108241.8439716312,11280,WA
98053,861990.0,5639,47.6848,-122.016,207522.1335992024,10030,WA
98119,685000.0,2280,47.6413,-122.364,190293.7363437728,13730,WA
98058,309000.0,9656,47.4485,-122.175,82944.60465116278,21500,WA
98019,488000.0,13603,47.7443,-121.977,131883.04195804195,5720,WA
98023,210490.0,8528,47.3066,-122.371,72238.51267137515,24070,WA
98007,785000.0,13416,47.6194,-122.151,108932.47041420118,13520,WA
98115,450000.0,5963,47.6796,-122.301,143828.72378243867,28130,WA
98070,1350000.0,65005,47.4041,-122.451,115425.5009107468,5490,WA
98148,228000.0,9199,47.4258,-122.322,62004.2750929368,5380,WA
98056,345000.0,9134,47.4934,-122.189,96429.90444069702,17790,WA
98117,600000.0,4080,47.6808,-122.384,141307.04301075268,18600,WA
98117,585000.0,8550,47.6989,-122.369,141307.04301075268,18600,WA
98105,920000.0,6000,47.6571,-122.281,167435.148792813,17810,WA
98105,885000.0,5000,47.6597,-122.29,167435.148792813,17810,WA
98042,292500.0,4495,47.3663,-122.114,85926.3877028181,23420,WA
98042,301000.0,4750,47.3663,-122.122,85926.3877028181,23420,WA
98008,951000.0,14342,47.588,-122.116,156355.4321966693,12610,WA
98059,430000.0,9976,47.5059,-122.149,115617.237743806,18970,WA
98166,650000.0,21235,47.4336,-122.339,108241.8439716312,11280,WA
98148,289000.0,8400,47.4366,-122.335,62004.2750929368,5380,WA
98166,505000.0,8690,47.4428,-122.344,108241.8439716312,11280,WA
98115,549000.0,1044,47.6765,-122.32,143828.72378243867,28130,WA
98122,425000.0,6000,47.6113,-122.297,114665.09046052632,24320,WA
98144,317625.0,3809,47.5747,-122.304,109619.07340553548,16620,WA
98004,975000.0,11049,47.5815,-122.192,334922.6645435244,18840,WA
98001,287000.0,4648,47.3378,-122.257,76875.8559622196,16940,WA
98042,204000.0,12070,47.3621,-122.11,85926.3877028181,23420,WA
98004,1325000.0,20158,47.6303,-122.215,334922.6645435244,18840,WA
98005,1040000.0,50094,47.6525,-122.16,190921.91510365249,10130,WA
98034,325000.0,5612,47.7362,-122.179,123401.29716981133,25440,WA
98125,571000.0,7807,47.7168,-122.287,89057.8125,21760,WA
98038,360000.0,5000,47.3608,-122.036,109980.16119032858,16130,WA
98042,349000.0,50529,47.3511,-122.073,85926.3877028181,23420,WA
98075,832500.0,35102,47.5822,-121.987,240569.3245778612,10660,WA
98008,380000.0,7300,47.6034,-122.125,156355.4321966693,12610,WA
98116,480000.0,5060,47.5636,-122.394,134899.4215938303,15560,WA
98133,410000.0,5060,47.7073,-122.34,77434.52474469757,25460,WA
98010,720000.0,39683,47.342,-122.025,113159.4982078853,2790,WA
98038,390000.0,5100,47.3512,-122.008,109980.16119032858,16130,WA
98038,360000.0,5889,47.349,-122.031,109980.16119032858,16130,WA
98118,355000.0,6720,47.5474,-122.291,82306.18225612205,24910,WA
98059,356000.0,8712,47.4811,-122.149,115617.237743806,18970,WA
98125,315000.0,6634,47.7264,-122.31,89057.8125,21760,WA
98119,940000.0,3600,47.6337,-122.365,190293.7363437728,13730,WA
98092,305000.0,8400,47.2909,-122.189,82218.24655095683,22470,WA
98056,461000.0,6278,47.5228,-122.199,96429.90444069702,17790,WA
98056,215000.0,2040,47.518,-122.194,96429.90444069702,17790,WA
98136,335000.0,1066,47.5394,-122.387,142535.06787330317,8840,WA
98023,243500.0,7403,47.2897,-122.372,72238.51267137515,24070,WA
98199,1099880.0,6353,47.6506,-122.391,195778.45884413313,11420,WA
98023,153000.0,10500,47.322,-122.351,72238.51267137515,24070,WA
98117,430000.0,5000,47.687,-122.386,141307.04301075268,18600,WA
98117,700000.0,5000,47.687,-122.386,141307.04301075268,18600,WA
98040,905000.0,10250,47.5873,-122.249,348292.80632411066,12650,WA
98032,247500.0,15681,47.3576,-122.277,59395.632444696545,17630,WA
98023,199000.0,6400,47.3036,-122.378,72238.51267137515,24070,WA
98038,314000.0,41800,47.4109,-121.958,109980.16119032858,16130,WA
98045,437500.0,36847,47.4838,-121.714,128982.49678249678,7770,WA
98102,850830.0,13241,47.6415,-122.315,153812.87655050206,16930,WA
98117,555000.0,3478,47.6775,-122.372,141307.04301075268,18600,WA
98077,699950.0,107593,47.7731,-122.08,228530.64516129033,6200,WA
98004,1088000.0,8113,47.5814,-122.196,334922.6645435244,18840,WA
98058,290000.0,33919,47.4375,-122.184,82944.60465116278,21500,WA
98058,375000.0,10005,47.4431,-122.133,82944.60465116278,21500,WA
98117,460000.0,4005,47.6878,-122.38,141307.04301075268,18600,WA
98198,188500.0,2493,47.3813,-122.322,68652.78372591006,18680,WA
98077,680000.0,28037,47.7304,-122.082,228530.64516129033,6200,WA
98052,470000.0,12342,47.6417,-122.109,167832.9569093611,33650,WA
